Term,CRN,Course,Sec,Title,POI,PRE,ATR,CR,Time1,Days1,Time2,Days2,Campus,Bldg1,Room1,Bldg2,Room2,Instructor1,Instructor2
201401,15149,CPSC 104,1,"The Internet:Tech,Info,Issues",Y,,,3,6:00 pm-7:15 pm,TR,,,Fredericksburg,DUPN,215,,,Groom J,
201401,12562,CPSC 106,1,Digital Storytelling,,,,3,5:00 pm-7:45 pm,M,,,Fredericksburg,TRIN,B6,,,Dean A,
201401,15150,CPSC 109,1,Intro to Modeling & Simulation,,,,3,8:00 am-9:15 am,TR,,,Fredericksburg,TRIN,B6,,,Toth D,
201401,15151,CPSC 109,2,Intro to Modeling & Simulation,,,,3,6:00 pm-8:45 pm,R,,,Fredericksburg,TRIN,B6,,,Solka J,
201401,10401,CPSC 110,1,Intro to Computer Science,,,HN,3,12:00 pm-12:50 pm,MWF,,,Fredericksburg,TRIN,B7,,,Polack J,
201401,10402,CPSC 110,2,Intro to Computer Science,,,,3,4:00 pm-5:15 pm,MW,,,Fredericksburg,TRIN,B52,,,Fritz M,
201401,10403,CPSC 110,3,Intro to Computer Science,,,,3,6:00 pm-7:15 pm,MW,,,Fredericksburg,TRIN,B7,,,Jennings D,
201401,10404,CPSC 110,4,Intro to Computer Science,,,,3,11:00 am-12:15 pm,TR,,,Fredericksburg,TRIN,B7,,,Cooper E,
201401,10405,CPSC 110,5,Intro to Computer Science,,,,3,3:30 pm-4:45 pm,TR,,,Fredericksburg,TRIN,B6,,,Corcoran M,
201401,10406,CPSC 125A,1,Intro to Discrete Mathematics,,,,3,3:30 pm-4:45 pm,TR,,,Fredericksburg,TRIN,B7,,,Cooper E,
201401,14271,CPSC 125A,2,Intro to Discrete Mathematics,,,,3,6:00 pm-7:15 pm,TR,,,Fredericksburg,TRIN,B7,,,Robinson J,
201401,10366,CPSC 220,1,Computer Science I,Y,Y,,4,10:00 am-11:50 am,MW,,,Fredericksburg,TRIN,B52,,,Anewalt K,
201401,10367,CPSC 220,2,Computer Science I,Y,Y,,4,1:00 pm-2:50 pm,MW,,,Fredericksburg,TRIN,B7,,,Finlayson I,
201401,10368,CPSC 230A,1,Comp Sci II: Data Structures,,Y,,4,10:00 am-11:50 am,MW,,,Fredericksburg,TRIN,B7,,,Polack J,
201401,11464,CPSC 230A,2,Comp Sci II: Data Structures,,Y,,4,10:00 am-11:50 am,TR,,,Fredericksburg,TRIN,B6,,,Polack J,
201401,10369,CPSC 305,1,Comp Sys & Architecture,,Y,,4,10:00 am-10:50 am,M,8:00 am-8:50 am,MWF,Fredericksburg,TRIN,B6,,,Toth D,
201401,14272,CPSC 305,2,Comp Sys & Architecture,,Y,,4,11:00 am-11:50 am,M,9:00 am-9:50 am,MWF,Fredericksburg,TRIN,B6,,,Toth D,
201401,11465,CPSC 330,1,Obj-Oriented Analys & Design,,Y,WI,4,10:00 am-11:50 am,WF,,,Fredericksburg,TRIN,B6,,,Davies S,
201401,14273,CPSC 330,2,Obj-Oriented Analys & Design,,Y,WI,4,2:00 pm-3:50 pm,WF,,,Fredericksburg,TRIN,B6,,,Davies S,
201401,11468,CPSC 350,1,Applications of Databases,Y,Y,,3,9:30 am-10:45 am,TR,,,Fredericksburg,MONR,240,,,Zacharski R,
201401,12564,CPSC 350,2,Applications of Databases,Y,Y,,3,12:30 pm-1:45 pm,TR,,,Fredericksburg,TRIN,B6,,,Zacharski R,
201401,15152,CPSC 370Y,1,Scientific& Stat Visualization,,Y,,3,6:00 pm-8:45 pm,T,,,Fredericksburg,TRIN,B6,,,Hohman E,
